scalings,0,500,1000,1500
learning-1-sort-size-lbd-5
HanoiTower/0004-hanoi_tower-60-0.asp,356979,997275,920137,452095
HanoiTower/0005-hanoi_tower-60-0.asp,2318793,3675770,780194,873638
HanoiTower/0007-hanoi_tower-60-0.asp,2695959,3260070,1778823,1750645
HanoiTower/0008-hanoi_tower-60-0.asp,2261748,2477622,4399157,4484419
HanoiTower/0013-hanoi_tower-32-0.asp,222553,329180,284325,775422
HanoiTower/0021-hanoi_tower-40-0.asp,683902,467829,387443,358610
HanoiTower/0022-hanoi_tower-60-0.asp,33092,29952,18982,2499
HanoiTower/0023-hanoi_tower-60-0.asp,23489,86617,42097,11801
HanoiTower/0025-hanoi_tower-60-0.asp,92769,42560,74413,171954
HanoiTower/0032-hanoi_tower-60-0.asp,47767,62892,69411,32056
HanoiTower/0036-hanoi_tower-80-0.asp,49492,38689,30390,28953
HanoiTower/0039-hanoi_tower-80-0.asp,200154,99126,94111,84642
HanoiTower/0040-hanoi_tower-80-0.asp,147175,88565,123318,96828
HanoiTower/0046-hanoi_tower-100-0.asp,114333,156541,120926,123910
HanoiTower/0047-hanoi_tower-120-0.asp,30269,26413,2374,42645
HanoiTower/0048-hanoi_tower-120-0.asp,73020,120072,56882,70127
HanoiTower/0050-hanoi_tower-120-0.asp,256290,100423,288353,134296
HanoiTower/0056-hanoi_tower-120-0.asp,2075725,1976866,1042841,1743951
HanoiTower/0059-hanoi_tower-120-0.asp,6887571,3867586,3032892,3111215
HanoiTower/0060-hanoi_tower-120-0.asp,5720739,6929669,5175580,4672531
Labyrinth/0025-labyrinth-14-0.asp,483,9720,9720,9720
Labyrinth/0045-labyrinth-11-0.asp,5350,22733,22733,22733
Labyrinth/0060-labyrinth-13-0.asp,1793,3459,3459,3459
Labyrinth/0075-labyrinth-13-0.asp,11219,11219,11219,11219
Labyrinth/0082-labyrinth-14-0.asp,45992,107332,107332,107332
Labyrinth/0083-labyrinth-23-0.asp,1009085,1078476,1113072,1101690
Labyrinth/0094-labyrinth-17-0.asp,124270,18848,18848,18848
Labyrinth/0117-labyrinth-23-0.asp,967483,1064132,1060971,1081078
Labyrinth/0130-labyrinth-14-0.asp,30698,24592,24592,24592
Labyrinth/0151-labyrinth-19-0.asp,232047,277735,277735,277735
Labyrinth/0157-labyrinth-13-0.asp,105947,18304,18304,18304
Labyrinth/0192-labyrinth-18-0.asp,336301,237447,237447,237447
Labyrinth/0204-labyrinth-20-0.asp,206339,1247762,1250808,1248218
Labyrinth/0205-labyrinth-20-0.asp,413604,1380774,1360716,1359222
Labyrinth/0207-labyrinth-20-0.asp,459171,695368,695368,695368
Labyrinth/0209-labyrinth-20-0.asp,289920,477205,477205,477205
Labyrinth/0210-labyrinth-20-0.asp,454391,1164914,1164889,1167462
Labyrinth/0215-labyrinth-21-0.asp,71553,126644,126644,126644
Labyrinth/0238-labyrinth-22-0.asp,1067928,157955,157955,157955
Labyrinth/0241-labyrinth-22-0.asp,609409,923357,923357,923357
Nomistery/0006-nomystery-55-0.asp,1094951,411575,262915,221503
Nomistery/0007-nomystery-57-0.asp,55995,24588,446543,371499
Nomistery/0009-nomystery-63-0.asp,69881,143573,92307,55229
Nomistery/0012-nomystery-84-0.asp,800501,770403,775131,851397
Nomistery/0014-nomystery-73-0.asp,1176700,1072405,1043791,1375629
Nomistery/0024-nomystery-86-0.asp,301535,286359,359127,286576
Nomistery/0025-nomystery-85-0.asp,400362,343527,407616,394683
Nomistery/0027-nomystery-172-0.asp,301147,339644,361847,280952
Nomistery/0028-nomystery-167-0.asp,72145,74148,64104,52182
Nomistery/0029-nomystery-123-0.asp,171056,137522,140178,141847
Nomistery/0030-nomystery-117-0.asp,120862,117529,163056,153196
Nomistery/0031-nomystery-52-0.asp,89984,111581,15602,113743
Nomistery/0033-nomystery-32-0.asp,17724,22161,211475,87305
Nomistery/0034-nomystery-64-0.asp,60769,131809,37048,37048
Nomistery/0037-nomystery-36-0.asp,1616522,1354708,1444228,1332467
Nomistery/0038-nomystery-63-0.asp,889307,799711,719257,631323
Nomistery/0039-nomystery-42-0.asp,511106,783225,750764,46540
Nomistery/0041-nomystery-88-0.asp,358069,380922,406228,343147
Nomistery/0042-nomystery-56-0.asp,1108874,974415,1042367,1229722
Nomistery/0045-nomystery-44-0.asp,127706,180555,297234,175504
RicochetRobots/007-ricochetrobot-17-0.asp,1054163,1799279,1791289,1536505
RicochetRobots/018-ricochetrobot-14-0.asp,118738,87138,94283,54795
RicochetRobots/025-ricochetrobot-14-0.asp,55766,90454,95709,366285
RicochetRobots/030-ricochetrobot-16-0.asp,1566516,1843260,1717209,1544704
RicochetRobots/038-ricochetrobot-13-0.asp,19960,3923,24476,46636
RicochetRobots/040-ricochetrobot-14-0.asp,243009,163803,29722,104192
RicochetRobots/046-ricochetrobot-13-0.asp,34874,24560,9872,52798
RicochetRobots/059-ricochetrobot-15-0.asp,39979,154500,67895,14733
RicochetRobots/060-ricochetrobot-14-0.asp,130096,42643,145026,132826
RicochetRobots/061-ricochetrobot-14-0.asp,59006,39769,33840,114855
RicochetRobots/062-ricochetrobot-25-0.asp,2602706,2063210,2021883,2048808
RicochetRobots/074-ricochetrobot-18-0.asp,1786574,1911338,1904521,1783929
RicochetRobots/078-ricochetrobot-17-0.asp,1649290,1378061,1882295,876456
RicochetRobots/084-ricochetrobot-15-0.asp,135285,538972,163587,118694
RicochetRobots/097-ricochetrobot-17-0.asp,1566886,843055,1032361,236429
RicochetRobots/105-ricochetrobot-19-0.asp,2171842,1190259,1928137,1870652
RicochetRobots/120-ricochetrobot-22-0.asp,1777972,2249386,2472981,2043698
RicochetRobots/188-ricochetrobot-18-0.asp,1834649,1631448,1892066,1811688
RicochetRobots/214-ricochetrobot-22-0.asp,754928,724859,1532269,1176781
RicochetRobots/230-ricochetrobot-17-0.asp,1571380,1677057,1174835,664172
Sokoban/0065-sokoban-120-1.asp,5093116,4856138,4936978,4715857
Sokoban/0096-sokoban-36-1.asp,152696,167034,237026,237026
Sokoban/0103-sokoban-110-1.asp,74104,48025,48025,48025
Sokoban/0119-sokoban-42-1.asp,468996,425816,398277,410382
Sokoban/0128-sokoban-131-1.asp,222331,72786,171671,190426
Sokoban/0140-sokoban-60-1.asp,5104004,5089673,4968249,4161536
Sokoban/0162-sokoban-31-1.asp,138460,108507,88634,71191
Sokoban/0207-sokoban-31-1.asp,273367,264373,234442,238502
Sokoban/0272-sokoban-135-1.asp,517380,195134,262542,149787
Sokoban/0395-sokoban-45-1.asp,3740166,3949178,3730373,3716925
Sokoban/0418-sokoban-36-1.asp,3110060,2049426,1823757,1779596
Sokoban/0428-sokoban-120-1.asp,545329,1086314,50168,492807
Sokoban/0474-sokoban-56-1.asp,684870,110107,17610,26377
Sokoban/0516-sokoban-200-1.asp,238041,1500127,247652,1731756
Sokoban/0685-sokoban-105-1.asp,5715230,5465056,5696138,4164170
Sokoban/0760-sokoban-48-1.asp,3802470,2713658,1398775,1841801
Sokoban/0791-sokoban-270-1.asp,5713615,5420698,5238877,5021547
Sokoban/0809-sokoban-280-1.asp,4194417,4567686,5028112,4613557
Sokoban/0950-sokoban-87-1.asp,4517030,4373188,4619191,4113606
Sokoban/0984-sokoban-165-1.asp,4278417,4274424,4465075,4100219
Visit-all/0009-visitall-36-1.asp,252338,667542,383758,391725
Visit-all/0012-visitall-36-1.asp,319114,436739,412419,380074
Visit-all/0019-visitall-67-1.asp,2805116,2737463,2569753,2817853
Visit-all/0020-visitall-67-1.asp,2710255,5216946,2991099,2818336
Visit-all/0029-visitall-39-1.asp,290899,566754,634967,377436
Visit-all/0030-visitall-39-1.asp,309322,712910,871248,617624
Visit-all/0031-visitall-39-1.asp,631683,473182,498431,421636
Visit-all/0037-visitall-73-1.asp,3195267,2903456,2794740,2899466
Visit-all/0040-visitall-73-1.asp,2613443,2990147,3805273,2997941
Visit-all/0057-visitall-79-1.asp,2925736,2825441,2869530,2799495
Visit-all/0059-visitall-79-1.asp,2692659,2728888,2841345,2861555
Visit-all/0060-visitall-79-1.asp,2704433,2819525,3129613,2847120
Visit-all/0070-visitall-49-1.asp,227043,323594,745879,149772
Visit-all/0071-visitall-49-1.asp,246316,85635,434697,357900
Visit-all/0077-visitall-91-1.asp,3292514,3170008,4483868,2906288
Visit-all/0078-visitall-91-1.asp,3367175,3139947,3941461,3174383
Visit-all/0080-visitall-91-1.asp,2797314,2965496,2869801,2805021
Visit-all/0089-visitall-66-1.asp,223173,57594,268889,112754
Visit-all/0099-visitall-122-1.asp,2926876,3099516,3056110,3037234
Visit-all/0100-visitall-122-1.asp,3119583,3122150,3240298,3104520
learning-1-sort-size
HanoiTower/0004-hanoi_tower-60-0.asp,356979,632448,542318,397736
HanoiTower/0005-hanoi_tower-60-0.asp,2318793,1768742,2051242,823195
HanoiTower/0007-hanoi_tower-60-0.asp,2695959,3745388,3149382,2696839
HanoiTower/0008-hanoi_tower-60-0.asp,2261748,6077323,5463406,4773975
HanoiTower/0013-hanoi_tower-32-0.asp,222553,568924,319367,206595
HanoiTower/0021-hanoi_tower-40-0.asp,683902,380329,471925,458315
HanoiTower/0022-hanoi_tower-60-0.asp,33092,62633,67214,22236
HanoiTower/0023-hanoi_tower-60-0.asp,23489,128843,17719,27862
HanoiTower/0025-hanoi_tower-60-0.asp,92769,87113,41181,80704
HanoiTower/0032-hanoi_tower-60-0.asp,47767,47278,62815,52883
HanoiTower/0036-hanoi_tower-80-0.asp,49492,30844,40005,34348
HanoiTower/0039-hanoi_tower-80-0.asp,200154,92706,44438,58254
HanoiTower/0040-hanoi_tower-80-0.asp,147175,112734,82956,137193
HanoiTower/0046-hanoi_tower-100-0.asp,114333,149998,115046,140242
HanoiTower/0047-hanoi_tower-120-0.asp,30269,39791,50059,24810
HanoiTower/0048-hanoi_tower-120-0.asp,73020,103053,99490,136302
HanoiTower/0050-hanoi_tower-120-0.asp,256290,186012,83378,129168
HanoiTower/0056-hanoi_tower-120-0.asp,2075725,1813040,1878762,1529447
HanoiTower/0059-hanoi_tower-120-0.asp,6936170,7170379,3669658,4080008
HanoiTower/0060-hanoi_tower-120-0.asp,5759476,5491111,5340549,3858252
Labyrinth/0025-labyrinth-14-0.asp,483,2565,2565,2565
Labyrinth/0045-labyrinth-11-0.asp,5350,22733,22733,22733
Labyrinth/0060-labyrinth-13-0.asp,1793,3459,3459,3459
Labyrinth/0075-labyrinth-13-0.asp,11219,11219,11219,11219
Labyrinth/0082-labyrinth-14-0.asp,45992,107332,107332,107332
Labyrinth/0083-labyrinth-23-0.asp,1012291,1041316,1063254,1046776
Labyrinth/0094-labyrinth-17-0.asp,124270,81154,81154,81154
Labyrinth/0117-labyrinth-23-0.asp,953738,1070237,1090039,1108533
Labyrinth/0130-labyrinth-14-0.asp,30698,25379,25379,25379
Labyrinth/0151-labyrinth-19-0.asp,232047,115534,115534,115534
Labyrinth/0157-labyrinth-13-0.asp,105947,38038,38038,38038
Labyrinth/0192-labyrinth-18-0.asp,336301,344380,344380,344380
Labyrinth/0204-labyrinth-20-0.asp,206339,1252783,1239422,1257690
Labyrinth/0205-labyrinth-20-0.asp,413604,284147,284147,284147
Labyrinth/0207-labyrinth-20-0.asp,459171,52680,52680,52680
Labyrinth/0209-labyrinth-20-0.asp,289920,593398,593398,593398
Labyrinth/0210-labyrinth-20-0.asp,454391,132833,132833,132833
Labyrinth/0215-labyrinth-21-0.asp,71553,304529,304529,304529
Labyrinth/0238-labyrinth-22-0.asp,1070915,1048698,1047235,1059059
Labyrinth/0241-labyrinth-22-0.asp,609409,352150,352150,352150
Nomistery/0006-nomystery-55-0.asp,1094951,440309,190930,399756
Nomistery/0007-nomystery-57-0.asp,55995,139237,56160,573644
Nomistery/0009-nomystery-63-0.asp,69881,149859,7693,6053
Nomistery/0012-nomystery-84-0.asp,798850,820979,798442,875200
Nomistery/0014-nomystery-73-0.asp,1181831,1134735,525522,1199704
Nomistery/0024-nomystery-86-0.asp,300489,289988,284631,333402
Nomistery/0025-nomystery-85-0.asp,410246,450341,427019,442478
Nomistery/0027-nomystery-172-0.asp,296024,305171,330469,325375
