scalings,0,500,1000,1500
learning-1-sort-size-lbd-5
HanoiTower/0004-hanoi_tower-60-0.asp,435210,1169505,1081384,547239
HanoiTower/0005-hanoi_tower-60-0.asp,2712871,4310555,959587,1075941
HanoiTower/0007-hanoi_tower-60-0.asp,3210247,3874893,2143610,3063158
HanoiTower/0008-hanoi_tower-60-0.asp,4390489,4503322,7613552,7635052
HanoiTower/0013-hanoi_tower-32-0.asp,275746,401026,347295,917629
HanoiTower/0021-hanoi_tower-40-0.asp,801038,553838,464302,429846
HanoiTower/0022-hanoi_tower-60-0.asp,41943,37024,23829,3660
HanoiTower/0023-hanoi_tower-60-0.asp,31451,104712,52806,15913
HanoiTower/0025-hanoi_tower-60-0.asp,113315,54239,91801,203168
HanoiTower/0032-hanoi_tower-60-0.asp,66224,81747,89317,42941
HanoiTower/0036-hanoi_tower-80-0.asp,111212,52286,42255,39435
HanoiTower/0039-hanoi_tower-80-0.asp,375303,158516,190098,151963
HanoiTower/0040-hanoi_tower-80-0.asp,287814,116812,187548,126002
HanoiTower/0046-hanoi_tower-100-0.asp,151528,202596,156124,160324
HanoiTower/0047-hanoi_tower-120-0.asp,40485,34990,3912,54077
HanoiTower/0048-hanoi_tower-120-0.asp,92980,147958,73543,88386
HanoiTower/0050-hanoi_tower-120-0.asp,314254,128202,345773,169358
HanoiTower/0056-hanoi_tower-120-0.asp,2854569,2355268,1276997,2085573
HanoiTower/0059-hanoi_tower-120-0.asp,11611272,4576848,3624556,3925264
HanoiTower/0060-hanoi_tower-120-0.asp,6795090,11485237,6119468,5540901
Labyrinth/0025-labyrinth-14-0.asp,6228,155138,155138,155138
Labyrinth/0045-labyrinth-11-0.asp,11880,193616,193616,193616
Labyrinth/0060-labyrinth-13-0.asp,6332,20927,20927,20927
Labyrinth/0075-labyrinth-13-0.asp,186819,186819,186819,186819
Labyrinth/0082-labyrinth-14-0.asp,751658,1448875,1448875,1448875
Labyrinth/0083-labyrinth-23-0.asp,58639155,58356898,58675261,58393824
Labyrinth/0094-labyrinth-17-0.asp,2013422,503613,503613,503613
Labyrinth/0117-labyrinth-23-0.asp,49758280,54573850,54566153,54614636
Labyrinth/0130-labyrinth-14-0.asp,563327,539513,539513,539513
Labyrinth/0151-labyrinth-19-0.asp,9382994,10719575,10719575,10719575
Labyrinth/0157-labyrinth-13-0.asp,1639136,329012,329012,329012
Labyrinth/0192-labyrinth-18-0.asp,8212844,5708678,5708678,5708678
Labyrinth/0204-labyrinth-20-0.asp,10411263,43338521,43379690,43339239
Labyrinth/0205-labyrinth-20-0.asp,20133079,47879869,47106694,47093918
Labyrinth/0207-labyrinth-20-0.asp,18670302,24400512,24400512,24400512
Labyrinth/0209-labyrinth-20-0.asp,11478071,19264744,19264744,19264744
Labyrinth/0210-labyrinth-20-0.asp,20687024,41020729,41020607,41153529
Labyrinth/0215-labyrinth-21-0.asp,3725136,5726219,5726219,5726219
Labyrinth/0238-labyrinth-22-0.asp,46510581,9882676,9882676,9882676
Labyrinth/0241-labyrinth-22-0.asp,26160613,33811306,33811306,33811306
Nomistery/0006-nomystery-55-0.asp,10028584,4620812,2804523,2333918
Nomistery/0007-nomystery-57-0.asp,1142184,425231,4859539,3523011
Nomistery/0009-nomystery-63-0.asp,669330,1004314,586410,124731
Nomistery/0012-nomystery-84-0.asp,17157663,17055874,16965644,15058219
Nomistery/0014-nomystery-73-0.asp,17842054,15493639,13536638,11329595
Nomistery/0024-nomystery-86-0.asp,17242230,16649334,17429230,15104716
Nomistery/0025-nomystery-85-0.asp,16822959,16434021,18515473,16222984
Nomistery/0027-nomystery-172-0.asp,12212128,16814836,15843026,12448807
Nomistery/0028-nomystery-167-0.asp,8224653,11692553,8840379,11701130
Nomistery/0029-nomystery-123-0.asp,15366728,10988609,11448852,9365195
Nomistery/0030-nomystery-117-0.asp,18210532,18731765,16104652,19077917
Nomistery/0031-nomystery-52-0.asp,864438,566067,75814,413073
Nomistery/0033-nomystery-32-0.asp,289039,356691,783087,401425
Nomistery/0034-nomystery-64-0.asp,1347602,1755840,269576,269576
Nomistery/0037-nomystery-36-0.asp,15654943,11759122,11756720,9058067
