scalings,0,500,1000,1500
learning-1-sort-size-lbd-5
HanoiTower/0004-hanoi_tower-60-0.asp,32.708,110.625,94.77,43.991
HanoiTower/0005-hanoi_tower-60-0.asp,311.899,520.828,91.27,102.301
HanoiTower/0007-hanoi_tower-60-0.asp,375.428,474.181,219.621,201.447
HanoiTower/0008-hanoi_tower-60-0.asp,262.447,298.165,594.864,627.278
HanoiTower/0013-hanoi_tower-32-0.asp,16.038,27.893,23.783,72.012
HanoiTower/0021-hanoi_tower-40-0.asp,65.486,41.12,35.324,32.722
HanoiTower/0022-hanoi_tower-60-0.asp,1.913,2.079,1.62,0.743
HanoiTower/0023-hanoi_tower-60-0.asp,1.4,6.516,3.4,1.363
HanoiTower/0025-hanoi_tower-60-0.asp,6.384,3.165,5.895,16.628
HanoiTower/0032-hanoi_tower-60-0.asp,3.576,5.226,5.998,3.245
HanoiTower/0036-hanoi_tower-80-0.asp,3.134,3.104,2.589,2.767
HanoiTower/0039-hanoi_tower-80-0.asp,14.759,8.315,8.174,7.908
HanoiTower/0040-hanoi_tower-80-0.asp,11.328,6.999,10.3,9.416
HanoiTower/0046-hanoi_tower-100-0.asp,9.221,14.088,11.387,12.625
HanoiTower/0047-hanoi_tower-120-0.asp,1.874,1.892,0.529,4.113
HanoiTower/0048-hanoi_tower-120-0.asp,4.791,9.423,4.69,6.365
HanoiTower/0050-hanoi_tower-120-0.asp,23.761,8.427,27.541,13.23
HanoiTower/0056-hanoi_tower-120-0.asp,237.503,218.894,112.474,204.992
HanoiTower/0059-hanoi_tower-120-0.asp,900,527.547,402.027,393.869
HanoiTower/0060-hanoi_tower-120-0.asp,900,900,725.387,652.419
Labyrinth/0025-labyrinth-14-0.asp,0.488,4.07,4.03,4.066
Labyrinth/0045-labyrinth-11-0.asp,1.741,4.829,4.949,4.835
Labyrinth/0060-labyrinth-13-0.asp,0.907,1.316,1.305,1.318
Labyrinth/0075-labyrinth-13-0.asp,3.803,3.792,3.771,3.795
Labyrinth/0082-labyrinth-14-0.asp,17.334,40.601,38.296,40.9
Labyrinth/0083-labyrinth-23-0.asp,900,900,900,900
Labyrinth/0094-labyrinth-17-0.asp,58.182,9.902,9.603,9.818
Labyrinth/0117-labyrinth-23-0.asp,900,900,900,900
Labyrinth/0130-labyrinth-14-0.asp,10.17,9.303,8.89,8.834
Labyrinth/0151-labyrinth-19-0.asp,106.508,172.48,172.299,169.574
Labyrinth/0157-labyrinth-13-0.asp,31.308,5.38,5.454,5.612
Labyrinth/0192-labyrinth-18-0.asp,193.805,141.071,140.584,139.195
Labyrinth/0204-labyrinth-20-0.asp,141.32,900,900,900
Labyrinth/0205-labyrinth-20-0.asp,279.328,900,900,900
Labyrinth/0207-labyrinth-20-0.asp,264.239,537.302,545.444,532.341
Labyrinth/0209-labyrinth-20-0.asp,185.057,310.628,303.688,308.373
Labyrinth/0210-labyrinth-20-0.asp,333.703,900,900,900
Labyrinth/0215-labyrinth-21-0.asp,50.311,93.815,92.634,93.934
Labyrinth/0238-labyrinth-22-0.asp,900,125.229,131.359,127.118
Labyrinth/0241-labyrinth-22-0.asp,510.591,732.751,760.394,747.382
Nomistery/0006-nomystery-55-0.asp,583.999,192.592,111.748,92.285
Nomistery/0007-nomystery-57-0.asp,27.944,13.13,248.931,202.054
Nomistery/0009-nomystery-63-0.asp,16.281,35.825,21.315,12.879
Nomistery/0012-nomystery-84-0.asp,900,900,900,900
Nomistery/0014-nomystery-73-0.asp,900,900,900,900
Nomistery/0024-nomystery-86-0.asp,900,900,900,900
