scalings,0,500,1000,1500
learning-hor-hor-lbd-30
blocks-strips-typed/instance-22.lp,609,119,119,119
blocks-strips-typed/instance-24.lp,106,1,1,1
blocks-strips-typed/instance-25.lp,223,51,51,51
blocks-strips-typed/instance-26.lp,216,3,3,3
blocks-strips-typed/instance-27.lp,54,54,54,54
blocks-strips-typed/instance-28.lp,10,5,5,5
blocks-strips-typed/instance-29.lp,267,3,3,3
blocks-strips-typed/instance-30.lp,241,11,11,11
blocks-strips-typed/instance-31.lp,29,1,1,1
blocks-strips-typed/instance-32.lp,5,6,6,6
blocks-strips-typed/instance-33.lp,9,9,9,9
blocks-strips-typed/instance-34.lp,14,4,4,4
blocks-strips-typed/instance-35.lp,122,12,12,12
blocks-strips-typed/instance-36.lp,6,1,1,1
blocks-strips-typed/instance-37.lp,4,1,1,1
blocks-strips-typed/instance-38.lp,1,1,1,1
blocks-strips-typed/instance-39.lp,1,1,1,1
blocks-strips-typed/instance-40.lp,2,1,1,1
blocks-strips-typed/instance-41.lp,8,5,5,5
blocks-strips-typed/instance-42.lp,1,1,1,1
depots-strips-automatic/instance-10.lp,83,688,688,688
depots-strips-automatic/instance-11.lp,60383,26519,16407,186705
depots-strips-automatic/instance-12.lp,591058,669082,616325,653989
depots-strips-automatic/instance-13.lp,5763,30,30,30
depots-strips-automatic/instance-14.lp,238,12585,12585,12585
depots-strips-automatic/instance-15.lp,107985,309946,69273,77273
depots-strips-automatic/instance-16.lp,319,128,128,128
depots-strips-automatic/instance-17.lp,913,349,349,349
depots-strips-automatic/instance-18.lp,102296,46552,12103,16857
depots-strips-automatic/instance-19.lp,865,771,808,2483
depots-strips-automatic/instance-20.lp,231207,487276,418324,391966
depots-strips-automatic/instance-3.lp,514,55,67,800
depots-strips-automatic/instance-4.lp,1933,3138,5049,1747
depots-strips-automatic/instance-5.lp,14605,3264,1795,13982
depots-strips-automatic/instance-6.lp,24120,18401,69423,10949
depots-strips-automatic/instance-7.lp,1498,8,8,8
depots-strips-automatic/instance-8.lp,2052,9733,11420,11420
depots-strips-automatic/instance-9.lp,164502,236270,128170,278582
driverlog-strips-automatic/instance-11.lp,231,227,227,227
driverlog-strips-automatic/instance-12.lp,1696,632,691,54
driverlog-strips-automatic/instance-13.lp,290,792,792,792
driverlog-strips-automatic/instance-14.lp,92,89,89,89
driverlog-strips-automatic/instance-15.lp,220,884,884,884
driverlog-strips-automatic/instance-17.lp,19043,16015,6726,11745
driverlog-strips-automatic/instance-18.lp,88431,18627,16973,33359
driverlog-strips-automatic/instance-7.lp,5,6,6,6
driverlog-strips-automatic/instance-9.lp,511,436,436,436
elevator-strips-simple-typed/instance-38.lp,267,825,825,825
elevator-strips-simple-typed/instance-40.lp,502,62,62,62
elevator-strips-simple-typed/instance-42.lp,4203,2566,716,443
elevator-strips-simple-typed/instance-43.lp,2379,3088,3531,3531
elevator-strips-simple-typed/instance-44.lp,2306,434,140,182
elevator-strips-simple-typed/instance-45.lp,876,611,611,611
elevator-strips-simple-typed/instance-46.lp,10506,3605,2779,302
elevator-strips-simple-typed/instance-47.lp,1253,847,847,847
elevator-strips-simple-typed/instance-48.lp,3027,4184,261,1031
elevator-strips-simple-typed/instance-49.lp,7134,6816,7494,3870
elevator-strips-simple-typed/instance-50.lp,2653,3774,397,3192
elevator-strips-simple-typed/instance-51.lp,58807,15895,30219,45475
