scalings,0,500,1000,1500
learning-hor-hor-lbd-30
blocks-strips-typed/instance-22.lp,5706,284,284,284
blocks-strips-typed/instance-24.lp,548,0,0,0
blocks-strips-typed/instance-25.lp,712,107,107,107
blocks-strips-typed/instance-26.lp,516,31,31,31
blocks-strips-typed/instance-27.lp,167,167,167,167
blocks-strips-typed/instance-28.lp,54,29,29,29
blocks-strips-typed/instance-29.lp,755,2,2,2
blocks-strips-typed/instance-30.lp,1372,112,112,112
blocks-strips-typed/instance-31.lp,794,0,0,0
blocks-strips-typed/instance-32.lp,32,31,31,31
blocks-strips-typed/instance-33.lp,231,81,81,81
blocks-strips-typed/instance-34.lp,99,39,39,39
blocks-strips-typed/instance-35.lp,6225,486,486,486
blocks-strips-typed/instance-36.lp,73,0,0,0
blocks-strips-typed/instance-37.lp,97,0,0,0
blocks-strips-typed/instance-38.lp,0,0,0,0
blocks-strips-typed/instance-39.lp,0,0,0,0
blocks-strips-typed/instance-40.lp,1,0,0,0
blocks-strips-typed/instance-41.lp,64,55,55,55
blocks-strips-typed/instance-42.lp,0,0,0,0
depots-strips-automatic/instance-10.lp,3031,27804,27804,27804
depots-strips-automatic/instance-11.lp,1259422,497912,44729,354059
depots-strips-automatic/instance-12.lp,13208968,1183702,12663568,1135068
depots-strips-automatic/instance-13.lp,18545,770,770,770
depots-strips-automatic/instance-14.lp,8468,43355,43355,43355
depots-strips-automatic/instance-15.lp,3140544,628198,1313726,1758123
depots-strips-automatic/instance-16.lp,15992,7181,7181,7181
depots-strips-automatic/instance-17.lp,46715,12575,12575,12575
depots-strips-automatic/instance-18.lp,5122226,2112455,576621,705700
depots-strips-automatic/instance-19.lp,27397,47380,24297,91313
depots-strips-automatic/instance-20.lp,9901064,19672392,16809935,1055021
depots-strips-automatic/instance-3.lp,2834,448,524,2105
depots-strips-automatic/instance-4.lp,18041,8465,11930,4313
depots-strips-automatic/instance-5.lp,32460,31496,17739,26978
depots-strips-automatic/instance-6.lp,364019,249722,119970,142834
depots-strips-automatic/instance-7.lp,6382,212,212,212
depots-strips-automatic/instance-8.lp,42571,25307,30016,30016
depots-strips-automatic/instance-9.lp,2925453,3661138,2145860,515739
driverlog-strips-automatic/instance-11.lp,959,1229,1229,1229
driverlog-strips-automatic/instance-12.lp,7140,1942,1860,272
driverlog-strips-automatic/instance-13.lp,3308,3776,3776,3776
driverlog-strips-automatic/instance-14.lp,1542,566,566,566
driverlog-strips-automatic/instance-15.lp,6505,26807,26807,26807
driverlog-strips-automatic/instance-17.lp,772835,589177,280578,394893
driverlog-strips-automatic/instance-18.lp,3574363,760250,681468,1149256
driverlog-strips-automatic/instance-7.lp,520,522,522,522
driverlog-strips-automatic/instance-9.lp,3544,2273,2273,2273
elevator-strips-simple-typed/instance-38.lp,1001,1301,1301,1301
elevator-strips-simple-typed/instance-40.lp,1538,340,340,340
elevator-strips-simple-typed/instance-42.lp,7140,3889,1282,858
elevator-strips-simple-typed/instance-43.lp,4679,4642,4974,4974
elevator-strips-simple-typed/instance-44.lp,4170,1111,552,596
elevator-strips-simple-typed/instance-45.lp,2260,984,984,984
elevator-strips-simple-typed/instance-46.lp,15747,5548,4357,573
elevator-strips-simple-typed/instance-47.lp,3110,1612,1612,1612
elevator-strips-simple-typed/instance-48.lp,5557,6050,525,1613
elevator-strips-simple-typed/instance-49.lp,12200,10219,10402,5577
elevator-strips-simple-typed/instance-50.lp,4928,5879,775,4400
elevator-strips-simple-typed/instance-51.lp,79368,22879,40505,58957
elevator-strips-simple-typed/instance-52.lp,8106,5633,1255,883
elevator-strips-simple-typed/instance-53.lp,1439259,712822,963179,982237
elevator-strips-simple-typed/instance-54.lp,1196447,2580764,1748744,2114444
elevator-strips-simple-typed/instance-55.lp,6752,6839,809,4563
elevator-strips-simple-typed/instance-56.lp,1040195,874869,1210927,1314364
elevator-strips-simple-typed/instance-57.lp,898251,1439223,1295774,1083425
elevator-strips-simple-typed/instance-58.lp,2146823,1454263,1823445,2247990
elevator-strips-simple-typed/instance-59.lp,45689,38088,16645,18659
freecell-strips-typed/instance-1.lp,0,0,0,0
freecell-strips-typed/instance-10.lp,0,0,0,0
freecell-strips-typed/instance-11.lp,0,0,0,0
freecell-strips-typed/instance-12.lp,0,0,0,0
freecell-strips-typed/instance-13.lp,0,0,0,0
freecell-strips-typed/instance-14.lp,0,0,0,0
freecell-strips-typed/instance-15.lp,0,0,0,0
freecell-strips-typed/instance-19.lp,0,0,0,0
freecell-strips-typed/instance-2.lp,0,0,0,0
freecell-strips-typed/instance-3.lp,0,0,0,0
freecell-strips-typed/instance-4.lp,0,0,0,0
freecell-strips-typed/instance-5.lp,0,0,0,0
freecell-strips-typed/instance-6.lp,0,0,0,0
freecell-strips-typed/instance-7.lp,0,0,0,0
freecell-strips-typed/instance-8.lp,0,0,0,0
freecell-strips-typed/instance-9.lp,0,0,0,0
grid-round-2-strips/instance-1.lp,1492,1012,1012,1012
grid-round-2-strips/instance-2.lp,45668,27488,19399,7359
gripper-round-1-strips/instance-10.lp,8738023,10329384,12049239,12515372
gripper-round-1-strips/instance-11.lp,9996061,12296190,11637436,9669245
gripper-round-1-strips/instance-12.lp,10154437,10085488,9957454,9847035
gripper-round-1-strips/instance-13.lp,8269978,10436611,10565489,12458224
gripper-round-1-strips/instance-14.lp,6060356,7587821,8007220,11507983
gripper-round-1-strips/instance-15.lp,5809150,10887531,10189733,11001993
gripper-round-1-strips/instance-16.lp,6251325,10350621,9184762,8971588
gripper-round-1-strips/instance-17.lp,7248934,10775251,10444574,9031454
gripper-round-1-strips/instance-18.lp,7047656,9136623,9659622,9771878
gripper-round-1-strips/instance-19.lp,6790516,9564179,7072858,10978717
gripper-round-1-strips/instance-20.lp,7552192,9454424,8281419,6654848
gripper-round-1-strips/instance-4.lp,11196,3456,5289,1604
gripper-round-1-strips/instance-5.lp,9097,35639,61927,79729
gripper-round-1-strips/instance-6.lp,260829,457063,226331,325019
gripper-round-1-strips/instance-7.lp,7999293,10315533,10532980,7599291
gripper-round-1-strips/instance-8.lp,9908280,11747190,11605275,10089810
gripper-round-1-strips/instance-9.lp,7326726,11487272,11946862,8293851
logistics-round-1-strips/instance-1.lp,2128,1674,1674,1674
logistics-round-1-strips/instance-10.lp,55588,28513,28513,28513
logistics-round-1-strips/instance-11.lp,8857,25222,25222,25222
logistics-round-1-strips/instance-12.lp,0,0,0,0
logistics-round-1-strips/instance-13.lp,0,0,0,0
logistics-round-1-strips/instance-14.lp,42795,98718,98718,98718
logistics-round-1-strips/instance-15.lp,10724,18801,18801,18801
logistics-round-1-strips/instance-16.lp,24413,60997,60997,60997
logistics-round-1-strips/instance-17.lp,21908,22746,22746,22746
logistics-round-1-strips/instance-19.lp,0,0,0,0
logistics-round-1-strips/instance-2.lp,1903,2141,2141,2141
logistics-round-1-strips/instance-21.lp,0,0,0,0
logistics-round-1-strips/instance-23.lp,23669,49021,49021,49021
logistics-round-1-strips/instance-24.lp,0,0,0,0
logistics-round-1-strips/instance-3.lp,1768,2343,2343,2343
logistics-round-1-strips/instance-4.lp,3682,3495,3495,3495
logistics-round-1-strips/instance-6.lp,12815,14652,14652,14652
logistics-round-1-strips/instance-7.lp,1314,2213,2213,2213
logistics-round-1-strips/instance-8.lp,28362,8463,8463,8463
logistics-round-1-strips/instance-9.lp,12401,33610,33610,33610
mystery-round-1-strips/instance-10.lp,0,0,0,0
mystery-round-1-strips/instance-13.lp,0,0,0,0
mystery-round-1-strips/instance-15.lp,0,0,0,0
mystery-round-1-strips/instance-17.lp,0,0,0,0
mystery-round-1-strips/instance-19.lp,445328,453449,98605,75347
mystery-round-1-strips/instance-2.lp,293799,387390,17814,437370
mystery-round-1-strips/instance-20.lp,678647,581497,960210,606810
mystery-round-1-strips/instance-26.lp,134667,201093,3670,27731
mystery-round-1-strips/instance-27.lp,27220,27872,27872,27872
mystery-round-1-strips/instance-29.lp,12184,6317,6317,6317
mystery-round-1-strips/instance-3.lp,5076,11858,11858,11858
mystery-round-1-strips/instance-30.lp,338848,614239,761095,30325
mystery-round-1-strips/instance-6.lp,0,0,0,0
mystery-round-1-strips/instance-9.lp,595303,125374,1744,29658
learning-hor-hor-size-05
blocks-strips-typed/instance-22.lp,0,0,0,0
blocks-strips-typed/instance-24.lp,0,0,0,0
blocks-strips-typed/instance-25.lp,0,0,0,0
blocks-strips-typed/instance-26.lp,0,0,0,0
blocks-strips-typed/instance-27.lp,0,0,0,0
blocks-strips-typed/instance-28.lp,0,0,0,0
blocks-strips-typed/instance-29.lp,0,0,0,0
blocks-strips-typed/instance-30.lp,0,0,0,0
blocks-strips-typed/instance-31.lp,0,0,0,0
blocks-strips-typed/instance-32.lp,0,0,0,0
blocks-strips-typed/instance-33.lp,0,0,0,0
blocks-strips-typed/instance-34.lp,0,0,0,0
blocks-strips-typed/instance-35.lp,0,0,0,0
blocks-strips-typed/instance-36.lp,0,0,0,0
blocks-strips-typed/instance-37.lp,0,0,0,0
blocks-strips-typed/instance-38.lp,0,0,0,0
blocks-strips-typed/instance-39.lp,0,0,0,0
blocks-strips-typed/instance-40.lp,0,0,0,0
blocks-strips-typed/instance-41.lp,0,0,0,0
blocks-strips-typed/instance-42.lp,0,0,0,0
depots-strips-automatic/instance-10.lp,0,0,0,0
depots-strips-automatic/instance-11.lp,0,0,0,0
depots-strips-automatic/instance-12.lp,0,0,0,0
depots-strips-automatic/instance-13.lp,0,0,0,0
depots-strips-automatic/instance-14.lp,0,0,0,0
depots-strips-automatic/instance-15.lp,0,0,0,0
depots-strips-automatic/instance-16.lp,0,0,0,0
depots-strips-automatic/instance-17.lp,0,0,0,0
depots-strips-automatic/instance-18.lp,0,0,0,0
depots-strips-automatic/instance-19.lp,0,0,0,0
depots-strips-automatic/instance-20.lp,0,0,0,0
depots-strips-automatic/instance-3.lp,0,0,0,0
depots-strips-automatic/instance-4.lp,0,0,0,0
depots-strips-automatic/instance-5.lp,0,0,0,0
depots-strips-automatic/instance-6.lp,0,0,0,0
depots-strips-automatic/instance-7.lp,0,0,0,0
depots-strips-automatic/instance-8.lp,0,0,0,0
depots-strips-automatic/instance-9.lp,0,0,0,0
driverlog-strips-automatic/instance-11.lp,0,0,0,0
driverlog-strips-automatic/instance-12.lp,0,0,0,0
driverlog-strips-automatic/instance-13.lp,0,0,0,0
driverlog-strips-automatic/instance-14.lp,0,0,0,0
driverlog-strips-automatic/instance-15.lp,0,0,0,0
driverlog-strips-automatic/instance-17.lp,0,0,0,0
driverlog-strips-automatic/instance-18.lp,0,0,0,0
driverlog-strips-automatic/instance-7.lp,35,0,0,0
driverlog-strips-automatic/instance-9.lp,0,0,0,0
elevator-strips-simple-typed/instance-38.lp,6,0,0,0
elevator-strips-simple-typed/instance-40.lp,6,0,0,0
elevator-strips-simple-typed/instance-42.lp,6,0,0,0
elevator-strips-simple-typed/instance-43.lp,6,0,0,0
elevator-strips-simple-typed/instance-44.lp,6,0,0,0
elevator-strips-simple-typed/instance-45.lp,6,0,0,0
elevator-strips-simple-typed/instance-46.lp,6,0,0,0
elevator-strips-simple-typed/instance-47.lp,6,0,0,0
elevator-strips-simple-typed/instance-48.lp,6,0,0,0
elevator-strips-simple-typed/instance-49.lp,6,0,0,0
elevator-strips-simple-typed/instance-50.lp,7,0,0,0
elevator-strips-simple-typed/instance-51.lp,6,0,0,0
elevator-strips-simple-typed/instance-52.lp,6,0,0,0
elevator-strips-simple-typed/instance-53.lp,6,0,0,0
elevator-strips-simple-typed/instance-54.lp,6,0,0,0
elevator-strips-simple-typed/instance-55.lp,6,0,0,0
elevator-strips-simple-typed/instance-56.lp,6,0,0,0
elevator-strips-simple-typed/instance-57.lp,7,0,0,0
elevator-strips-simple-typed/instance-58.lp,6,0,0,0
elevator-strips-simple-typed/instance-59.lp,6,0,0,0
freecell-strips-typed/instance-1.lp,0,0,0,0
freecell-strips-typed/instance-10.lp,0,0,0,0
freecell-strips-typed/instance-11.lp,0,0,0,0
freecell-strips-typed/instance-12.lp,0,0,0,0
freecell-strips-typed/instance-13.lp,0,0,0,0
freecell-strips-typed/instance-14.lp,0,0,0,0
freecell-strips-typed/instance-15.lp,0,0,0,0
freecell-strips-typed/instance-19.lp,0,0,0,0
freecell-strips-typed/instance-2.lp,0,0,0,0
freecell-strips-typed/instance-3.lp,0,0,0,0
freecell-strips-typed/instance-4.lp,0,0,0,0
freecell-strips-typed/instance-5.lp,0,0,0,0
freecell-strips-typed/instance-6.lp,0,0,0,0
freecell-strips-typed/instance-7.lp,0,0,0,0
freecell-strips-typed/instance-8.lp,0,0,0,0
freecell-strips-typed/instance-9.lp,0,0,0,0
grid-round-2-strips/instance-1.lp,0,0,0,0
grid-round-2-strips/instance-2.lp,0,0,0,0
gripper-round-1-strips/instance-10.lp,90,16,16,16
gripper-round-1-strips/instance-11.lp,67,19,19,19
gripper-round-1-strips/instance-12.lp,88,31,31,31
gripper-round-1-strips/instance-13.lp,87,32,32,32
gripper-round-1-strips/instance-14.lp,87,17,17,17
gripper-round-1-strips/instance-15.lp,105,41,41,41
gripper-round-1-strips/instance-16.lp,180,44,44,44
gripper-round-1-strips/instance-17.lp,125,28,28,28
gripper-round-1-strips/instance-18.lp,111,39,39,39
gripper-round-1-strips/instance-19.lp,99,16,16,16
gripper-round-1-strips/instance-20.lp,103,16,16,16
gripper-round-1-strips/instance-4.lp,52,11,11,11
gripper-round-1-strips/instance-5.lp,48,12,12,12
gripper-round-1-strips/instance-6.lp,66,35,35,35
gripper-round-1-strips/instance-7.lp,69,20,20,20
gripper-round-1-strips/instance-8.lp,71,26,26,26
gripper-round-1-strips/instance-9.lp,76,12,12,12
logistics-round-1-strips/instance-1.lp,0,0,0,0
logistics-round-1-strips/instance-10.lp,0,0,0,0
logistics-round-1-strips/instance-11.lp,0,0,0,0
logistics-round-1-strips/instance-12.lp,0,0,0,0
logistics-round-1-strips/instance-13.lp,0,0,0,0
logistics-round-1-strips/instance-14.lp,0,0,0,0
logistics-round-1-strips/instance-15.lp,0,0,0,0
logistics-round-1-strips/instance-16.lp,0,0,0,0
logistics-round-1-strips/instance-17.lp,0,0,0,0
logistics-round-1-strips/instance-19.lp,0,0,0,0
logistics-round-1-strips/instance-2.lp,0,0,0,0
logistics-round-1-strips/instance-21.lp,0,0,0,0
logistics-round-1-strips/instance-23.lp,0,0,0,0
logistics-round-1-strips/instance-24.lp,0,0,0,0
logistics-round-1-strips/instance-3.lp,0,0,0,0
logistics-round-1-strips/instance-4.lp,0,0,0,0
logistics-round-1-strips/instance-6.lp,0,0,0,0
logistics-round-1-strips/instance-7.lp,0,0,0,0
