scalings,0,500,1000,1500
learning-hor-hor-lbd-30
blocks-strips-typed/instance-22.lp,0.915,0.848,0.851,0.956
blocks-strips-typed/instance-24.lp,0.766,0.777,0.779,0.797
blocks-strips-typed/instance-25.lp,1.027,1.04,1.074,1.063
blocks-strips-typed/instance-26.lp,1.05,1.054,1.043,1.126
blocks-strips-typed/instance-27.lp,1.224,1.289,1.229,1.226
blocks-strips-typed/instance-28.lp,1.282,1.228,1.229,1.237
blocks-strips-typed/instance-29.lp,1.611,1.583,1.541,1.572
blocks-strips-typed/instance-30.lp,1.597,1.557,1.555,1.568
blocks-strips-typed/instance-31.lp,1.953,1.935,1.938,1.93
blocks-strips-typed/instance-32.lp,1.986,1.945,1.981,1.996
blocks-strips-typed/instance-33.lp,2.299,2.31,2.286,2.319
blocks-strips-typed/instance-34.lp,2.303,2.335,2.35,2.348
blocks-strips-typed/instance-35.lp,2.835,2.839,2.836,2.748
blocks-strips-typed/instance-36.lp,2.788,2.77,2.763,2.759
blocks-strips-typed/instance-37.lp,3.374,3.32,3.264,3.262
blocks-strips-typed/instance-38.lp,3.282,3.354,3.305,3.28
blocks-strips-typed/instance-39.lp,4.203,4.156,4.055,4.081
blocks-strips-typed/instance-40.lp,4.135,4.036,4.141,4.08
blocks-strips-typed/instance-41.lp,4.907,4.915,4.855,4.923
blocks-strips-typed/instance-42.lp,4.829,4.753,4.765,4.765
depots-strips-automatic/instance-10.lp,4.362,4.626,4.608,4.636
depots-strips-automatic/instance-11.lp,50.526,31.574,28.024,158.783
depots-strips-automatic/instance-12.lp,699.156,900,741.72,900
depots-strips-automatic/instance-13.lp,8.672,6.527,6.381,6.385
depots-strips-automatic/instance-14.lp,19.088,29.547,29.049,29.321
depots-strips-automatic/instance-15.lp,178.241,504.56,139.288,143.608
depots-strips-automatic/instance-16.lp,10.947,12.384,11.07,11.116
depots-strips-automatic/instance-17.lp,33.157,32.78,33.07,33.168
depots-strips-automatic/instance-18.lp,244.217,161.609,116.287,125.011
depots-strips-automatic/instance-19.lp,22.2,23.165,23.277,25.701
depots-strips-automatic/instance-20.lp,478.162,900,806.321,900
depots-strips-automatic/instance-3.lp,1.357,1.5,1.941,2.661
depots-strips-automatic/instance-4.lp,2.991,3.903,5.159,4.692
depots-strips-automatic/instance-5.lp,9.551,5.851,5.998,12.185
depots-strips-automatic/instance-6.lp,26.062,23.4,53.464,21.514
