,empty-1/base,,,,,,empty-1/base-mod-enc,,,,,,empty-1/base-heur-mod-enc,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-heur,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10-heur,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5-heur,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
HanoiTower/0004-hanoi_tower-60-0.asp,415.55,415.459,3140130,2715388,84,0,900,900,9770997,7132096,99,0,900,900,10118823,7299399,105,0,900,900,9006582,6754867,116,0,900,900,8791805,6508271,113,0,900,900,8584882,6397977,123,0,900,900,8694752,6472381,124,0,900,900,9036348,6683976,85,0,900,900,9217841,6866023,95,0,900,900,8942018,6546675,87,0,900,900,8985906,6605447,82,0,900,900,8840609,6573352,98,0,900,900,8573336,6383154,99,0,900,900,8573336,6383154,82,0,900,900,8963962,6589399.5,99,0,900,900,10118823,7299399,124,0
HanoiTower/0005-hanoi_tower-60-0.asp,900,900,5835844,5036308,113,0,900,900,9525181,6921215,111,0,900,900,9175290,6708529,114,0,900,900,8701326,6323512,125,0,900,900,8424669,6219171,125,0,900,900,8461735,6209053,137,0,900,900,8313964,6112664,137,0,900,900,9369291,6835356,98,0,900,900,8963679,6496234,104,0,900,900,8177130,6075464,101,0,900,900,8619624,6392238,103,0,900,900,8690295,6384649,108,0,900,900,8510168,6230206,114,0,900,900,8177130,6075464,98,0,900,900,8654959.5,6354080.5,112.5,0,900,900,9525181,6921215,137,0
HanoiTower/0007-hanoi_tower-60-0.asp,900,900,6263690,5353913,118,0,900,900,9608847,6886305,105,0,900,900,9398032,6698395,104,0,900,900,9108288,6587719,125,0,900,900,8554669,6249535,118,0,900,900,7980884,5893091,143,0,900,900,7942263,5918397,139,0,900,900,9244697,6675944,105,0,900,900,9090227,6531459,103,0,900,900,8709314,6413655,109,0,900,900,8507457,6179774,103,0,900,900,8603934,6188992,115,0,900,900,8793922,6371758,110,0,900,900,7942263,5893091,103,0,900,900,8751618,6392706.5,109.5,0,900,900,9608847,6886305,143,0
HanoiTower/0008-hanoi_tower-60-0.asp,900,900,6743592,5690599,120,0,900,900,9253160,6657154,110,0,900,900,9533401,6763599,105,0,900,900,8392558,4686755,116,0,900,900,8405142,6101055,119,0,900,900,8103485,5794694,149,0,900,900,8569349,6235783,135,0,900,900,8787167,6331563,107,0,900,900,8964872,6422868,110,0,900,900,8740778,6427543,105,0,900,900,8095134,6002293,102,0,900,900,8629919,6361738,110,0,900,900,8258129,6084154,110,0,900,900,8095134,4686755,102,0,900,900,8599634,6283673,110,0,900,900,9533401,6763599,149,0
HanoiTower/0013-hanoi_tower-32-0.asp,525.39,525.305,4626910,4108903,59,0,900,900,10892165,8250593,84,0,900,900,11118395,8365484,80,0,900,900,9546635,7477824,91,0,900,900,9648399,7357201,105,0,900,900,8543102,6717972,100,0,900,900,9289392,7127548,100,0,900,900,10107402,7804709,82,0,900,900,10230309,7762665,78,0,900,900,10630398,8120748,66,0,900,900,10281069,7999110,70,0,900,900,9574170,7440799,78,0,900,900,9431991,7242134,87,0,900,900,8543102,6717972,66,0,900,900,9877900.5,7620244.5,83,0,900,900,11118395,8365484,105,0
HanoiTower/0021-hanoi_tower-40-0.asp,220.29,220.209,2001644,1734777,57,0,900,900,11263989,8014342,91,0,900,900,11245109,7888802,82,0,900,900,9190641,6976014,95,0,900,900,8969717,6627415,88,0,900,900,8031884,6089634,102,0,900,900,8826471,6530544,91,0,900,900,9474704,7131472,81,0,900,900,9780829,7110349,82,0,900,900,9990815,7446638,71,0,900,900,10371315,7567355,68,0,900,900,9708545,7387081,81,0,900,900,9609271,7125716,86,0,900,900,8031884,6089634,68,0,900,900,9658908,7128594,84,0,900,900,11263989,8014342,102,0
HanoiTower/0022-hanoi_tower-60-0.asp,31.32,31.255,413204,365688,29,0,14.24,13.611,216345,135678,52,0,7.37,6.639,87132,53367,51,0,11.76,10.705,118648,77037,85,920,7.71,6.71,76808,48187,80,941,10.6,9.907,115358,74935,69,660,7.49,6.671,80858,50761,71,782,14.95,14.394,186716,118665,61,500,6.81,6.218,75772,47712,57,500,14.82,14.115,205473,131151,46,157,10.14,9.389,130624,79761,44,144,7.93,7.151,86613,56110,53,451,14.1,13.293,180352,112307,52,423,6.81,6.218,75772,47712,44,0,10.37,9.648,117003,75986,55,475.5,14.95,14.394,216345,135678,85,941
HanoiTower/0023-hanoi_tower-60-0.asp,34.01,33.926,427140,373319,33,0,8.6,7.878,99944,69004,51,0,49.74,48.955,709168,473678,56,0,21.02,20.112,195798,141231,79,996,31.65,30.827,338531,229764,77,996,15.78,15.158,173945,122914,65,720,28.12,27.39,283458,194089,69,850,9.89,9.274,100610,72208,57,500,64.64,63.882,796884,540844,60,500,9.41,8.752,103696,71194,44,209,99.45,98.742,1269997,865376,53,205,10.86,10.071,105491,75167,54,561,17.36,16.634,209735,139861,53,515,8.6,7.878,99944,69004,44,0,19.19,18.373,202766.5,140546,56.5,507.5,99.45,98.742,1269997,865376,79,996
HanoiTower/0025-hanoi_tower-60-0.asp,135.17,135.096,1364637,1202135,46,0,389.73,388.679,4621099,3477954,84,0,888.71,887.774,10324479,7520327,84,0,656.36,655.12,5937021,4635681,101,1000,900,900,8446276,6376642,97,0,636,634.935,5978516,4628788,104,1217,900,900,8576652,6431352,89,0,567.15,566.488,5650513,4364276,79,500,636.32,635.75,6920540,5102207,78,500,395.27,394.269,4411425,3229170,68,274,654.77,653.667,7571599,5542740,73,264,645.92,644.43,6497310,5064207,87,959,900,900,8919413,6636899,88,0,389.73,388.679,4411425,3229170,68,0,650.345,649.0485,6708925,5083207,85.5,269,900,900,10324479,7520327,104,1217
