,empty-1/base,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
pddl-instances/ipc-1998/domains/grid-round-2-strips/instance-1.lp,109.96,106.731,283,106,1961,0,111.05,107.639,251,96,1958,3,110.68,107.293,251,96,1961,3,113.87,110.523,251,96,1960,3,112.85,109.814,251,96,1960,3,109.72,106.381,251,96,1958,3,109.72,106.381,251,96,1958,0,110.865,107.466,251,96,1960,3,113.87,110.523,283,106,1961,3
pddl-instances/ipc-1998/domains/grid-round-2-strips/instance-2.lp,354.01,340.064,377061,7338,5829,0,349.68,335.361,274429,7528,5789,65,345.83,331.749,274429,7528,5787,65,348.92,334.709,274429,7528,5787,65,349.87,334.518,118295,3293,5774,50,348.38,333.553,361078,7972,5775,62,345.83,331.749,118295,3293,5774,0,349.3,334.6135,274429,7528,5787,63.5,354.01,340.064,377061,7972,5829,65
pddl-instances/ipc-1998/domains/grid-round-2-strips/instance-3.lp,900,900,0,0,8004,0,900,900,0,0,8006,0,900,900,0,0,8004,0,900,900,0,0,8000,0,900,900,0,0,8002,0,900,900,0,0,8001,0,900,900,0,0,8000,0,900,900,0,0,8003,0,900,900,0,0,8006,0
pddl-instances/ipc-1998/domains/grid-round-2-strips/instance-4.lp,900,900,0,0,8070,0,900,900,0,0,8147,0,900,900,0,0,8046,0,900,900,0,0,8127,0,900,900,0,0,8158,0,900,900,0,0,8087,0,900,900,0,0,8046,0,900,900,0,0,8107,0,900,900,0,0,8158,0
pddl-instances/ipc-1998/domains/grid-round-2-strips/instance-5.lp,900,900,0,0,8004,0,900,900,0,0,8002,0,900,900,0,0,8001,0,900,900,0,0,8000,0,900,900,0,0,8001,0,900,900,0,0,8001,0,900,900,0,0,8000,0,900,900,0,0,8001,0,900,900,0,0,8004,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-1.lp,0.55,0.432,105,67,24,0,0.62,0.456,102,67,24,25,0.53,0.4,102,67,24,25,0.59,0.449,102,67,24,25,0.6,0.469,102,67,24,14,0.55,0.396,102,67,24,23,0.53,0.396,102,67,24,0,0.57,0.4405,102,67,24,24,0.62,0.469,105,67,24,25
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-10.lp,900,900,12490732,9135213,74,0,900,900,10701790,7960974,81,0,900,900,10598762,7675478,122,0,900,900,11124497,8221249,79,0,900,900,10483313,7957068,71,0,900,900,11079576,8109189,73,0,900,900,10483313,7675478,71,0,900,900,10890683,8035081.5,76.5,0,900,900,12490732,9135213,122,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-11.lp,900,900,11759163,8540263,74,0,900,900,10561400,7826952,100,0,900,900,9799427,7118367,118,0,900,900,10369138,7717441,79,0,900,900,9861843,7488021,74,0,900,900,10193248,7597747,80,0,900,900,9799427,7118367,74,0,900,900,10281193,7657594,79.5,0,900,900,11759163,8540263,118,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-12.lp,900,900,11599086,8410873,82,0,900,900,10688245,7599375,102,0,900,900,10419323,7515786,115,0,900,900,11043030,7998826,80,0,900,900,11431143,8273873,74,0,900,900,11192967,7931355,90,0,900,900,10419323,7515786,74,0,900,900,11117998.5,7965090.5,86,0,900,900,11599086,8410873,115,0
pddl-instances/ipc-1998/domains/gripper-round-1-strips/instance-13.lp,900,900,10108395,7448704,85,0,900,900,10665381,7661838,106,0,900,900,9968133,7145965,117,0,900,900,10840232,7757111,93,0,900,900,10499102,7632543,83,0,900,900,10380056,7442649,95,0,900,900,9968133,7145965,83,0,900,900,10439579,7540623.5,94,0,900,900,10840232,7757111,117,0
