,empty-1/base,,,,,,empty-1/mod-encoding,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
blocks-strips-typed/instances/instance-22.lp,1.1,0.883,1755,901,40,0,3.67,3.166,4504,2454,81,0,4.43,3.678,4456,2805,97,659,4.18,3.556,4468,2801,88,502,3.68,3.203,4510,2840,81,302,3.58,3.124,3791,2240,81,203,3.86,3.302,3731,2427,81,359,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-24.lp,1.18,0.936,687,286,41,0,3.05,2.664,2052,1001,74,0,2.93,2.592,1251,506,75,118,2.95,2.605,1251,506,71,118,2.76,2.455,1251,506,71,118,2.86,2.551,1293,535,70,82,2.92,2.6,1251,506,75,114,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-25.lp,1.48,1.193,1699,806,52,0,3.83,3.369,2720,1226,92,0,4.15,3.691,2886,1720,95,299,4.54,4.055,2886,1720,96,299,4.09,3.566,2575,1413,94,222,4.08,3.595,2538,1367,92,193,4.03,3.518,2223,1183,94,290,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-26.lp,1.38,1.091,860,379,51,0,3.64,3.223,1946,846,88,0,3.82,3.384,1477,791,93,205,3.67,3.25,1477,791,92,205,3.73,3.306,1419,735,92,190,3.65,3.221,1356,764,88,174,3.7,3.273,1432,788,92,198,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-27.lp,1.96,1.525,1083,270,67,0,5.49,4.895,12134,2031,117,0,5.64,5.038,7263,1763,124,340,5.8,5.185,7263,1763,121,323,5.03,4.53,7262,1750,119,189,5.15,4.605,6392,1719,116,163,5.63,5.084,7276,1754,120,240,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-28.lp,2.13,1.662,2662,463,66,0,5.52,4.953,9990,1466,115,0,5.25,4.658,7239,1267,118,256,5.54,4.919,7239,1267,117,256,4.96,4.449,5001,1124,116,178,5.13,4.603,4670,1162,114,183,5.39,4.813,9689,1345,116,229,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-29.lp,2.43,1.938,2543,1320,72,0,4.92,4.474,13982,636,118,0,5.03,4.606,3083,699,118,76,4.85,4.446,3083,699,118,76,4.93,4.528,3083,699,117,76,4.85,4.442,2318,546,117,63,4.93,4.501,2522,612,116,64,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-30.lp,2.42,1.951,2367,1300,71,0,6.02,5.433,21409,2245,126,0,5.45,4.894,7961,1228,123,209,5.52,4.962,7961,1228,123,209,5.84,5.208,7514,1377,123,187,5.44,4.907,7043,1202,120,129,5.52,4.949,5447,1177,121,226,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-31.lp,2.66,1.972,415,210,91,0,5.79,5.364,22457,498,144,0,5.62,5.184,3181,181,145,44,5.85,5.426,3181,181,145,44,6.07,5.554,3181,181,145,44,5.63,5.207,3034,152,141,32,5.64,5.218,3055,154,144,39,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-32.lp,3.55,2.674,4802,603,101,0,10.97,9.894,22999,4590,200,0,11.85,10.726,39772,4520,216,690,10.06,9.114,39843,4546,203,443,9.85,8.97,40180,4562,196,256,10.14,9.359,54516,6020,204,142,10.16,9.339,50516,5149,208,260,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
blocks-strips-typed/instances/instance-33.lp,5.17,4.129,33385,2617,124,0,12.81,11.632,73289,5549,218,0,16.32,15.102,39038,5110,256,704,12.87,11.922,39084,5211,242,398,11.7,10.914,35613,4746,239,226,11.58,10.7,58813,5586,238,176,11.55,10.676,43516,4164,242,295,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
