,empty-1/base,,,,,,empty-1/base-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-heur,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10-heur,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3-heur,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5-heur,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
blocks-strips-typed/instances/instance-22.lp,3.67,3.166,4504,2454,81,0,7.26,6.874,29700,4844,101,0,4.43,3.678,4456,2805,97,659,47.22,5.425,17219,4405,259,104,4.18,3.556,4468,2801,88,502,6.08,5.737,20860,4743,102,117,3.68,3.203,4510,2840,81,302,5.57,5.258,20336,4741,101,66,3.58,3.124,3791,2240,81,203,6.17,5.861,23127,5515,102,58,3.86,3.302,3731,2427,81,359,5.8,5.474,21660,4656,101,75,3.58,3.124,3731,2240,81,0,5,4.468,10864.5,3622.5,99,110.5,47.22,6.874,29700,5515,259,659
blocks-strips-typed/instances/instance-24.lp,3.05,2.664,2052,1001,74,0,3.31,3.002,9807,769,77,0,2.93,2.592,1251,506,75,118,21.25,2.987,3010,651,156,85,2.95,2.605,1251,506,71,118,3.08,2.793,2968,617,77,81,2.76,2.455,1251,506,71,118,3.02,2.712,2973,617,74,70,2.86,2.551,1293,535,70,82,3.34,2.923,3436,634,73,56,2.92,2.6,1251,506,75,114,3.08,2.787,2968,617,77,75,2.76,2.455,1251,506,70,0,3.035,2.688,2510,617,74.5,81.5,21.25,3.002,9807,1001,156,118
blocks-strips-typed/instances/instance-25.lp,3.83,3.369,2720,1226,92,0,4.11,3.772,8973,713,94,0,4.15,3.691,2886,1720,95,299,24.72,3.534,2492,511,186,72,4.54,4.055,2886,1720,96,299,3.75,3.419,5577,527,91,62,4.09,3.566,2575,1413,94,222,3.66,3.339,5577,527,89,62,4.08,3.595,2538,1367,92,193,3.8,3.483,7094,578,92,41,4.03,3.518,2223,1183,94,290,3.66,3.34,5577,527,89,54,3.66,3.339,2223,511,89,0,4.055,3.526,2886,948,93,67,24.72,4.055,8973,1720,186,299
blocks-strips-typed/instances/instance-26.lp,3.64,3.223,1946,846,88,0,3.83,3.512,9180,472,91,0,3.82,3.384,1477,791,93,205,18.38,3.331,6404,371,141,57,3.67,3.25,1477,791,92,205,3.79,3.47,6000,412,92,52,3.73,3.306,1419,735,92,190,3.62,3.292,6000,412,91,52,3.65,3.221,1356,764,88,174,3.55,3.218,5043,395,92,37,3.7,3.273,1432,788,92,198,3.63,3.317,6000,412,93,51,3.55,3.218,1356,371,88,0,3.685,3.299,3494.5,603.5,92,54.5,18.38,3.512,9180,846,141,205
blocks-strips-typed/instances/instance-27.lp,5.49,4.895,12134,2031,117,0,6.29,5.85,29515,1700,129,0,5.64,5.038,7263,1763,124,340,48.72,5.429,20216,1171,330,90,5.8,5.185,7263,1763,121,323,5.35,4.911,11443,817,117,68,5.03,4.53,7262,1750,119,189,5.05,4.62,11807,820,118,57,5.15,4.605,6392,1719,116,163,5.28,4.848,13031,826,117,61,5.63,5.084,7276,1754,120,240,5.33,4.899,13070,826,118,66,5.03,4.53,6392,817,116,0,5.42,4.905,11625,1709.5,118.5,79,48.72,5.85,29515,2031,330,340
blocks-strips-typed/instances/instance-28.lp,5.52,4.953,9990,1466,115,0,4.76,4.308,8088,420,111,0,5.25,4.658,7239,1267,118,256,16.39,4.326,9004,402,155,58,5.54,4.919,7239,1267,117,256,4.93,4.477,10887,446,112,55,4.96,4.449,5001,1124,116,178,4.77,4.34,10887,446,112,55,5.13,4.603,4670,1162,114,183,4.9,4.454,10887,446,112,52,5.39,4.813,9689,1345,116,229,4.79,4.253,10887,446,112,55,4.76,4.253,4670,402,111,0,5.045,4.4655,9346.5,785,114.5,56.5,16.39,4.953,10887,1466,155,256
blocks-strips-typed/instances/instance-29.lp,4.92,4.474,13982,636,118,0,4.86,4.471,2719,285,120,0,5.03,4.606,3083,699,118,76,6.96,4.368,1043,166,120,43,4.85,4.446,3083,699,118,76,5.22,4.842,803,96,116,32,4.93,4.528,3083,699,117,76,4.66,4.296,803,96,115,32,4.85,4.442,2318,546,117,63,4.64,4.272,782,95,117,28,4.93,4.501,2522,612,116,64,4.68,4.299,803,96,114,32,4.64,4.272,782,95,114,0,4.89,4.4585,2420,415.5,117,37.5,6.96,4.842,13982,699,120,76
blocks-strips-typed/instances/instance-30.lp,6.02,5.433,21409,2245,126,0,5.42,4.985,6774,989,119,0,5.45,4.894,7961,1228,123,209,8.52,4.924,3928,797,151,79,5.52,4.962,7961,1228,123,209,5.62,5.228,4631,1014,121,78,5.84,5.208,7514,1377,123,187,5.28,4.894,4708,1019,121,72,5.44,4.907,7043,1202,120,129,5.15,4.745,3809,812,122,61,5.52,4.949,5447,1177,121,226,5.42,5.04,4344,934,123,79,5.15,4.745,3809,797,119,0,5.485,4.9555,6110.5,1098,122.5,79,8.52,5.433,21409,2245,151,226
blocks-strips-typed/instances/instance-31.lp,5.79,5.364,22457,498,144,0,5.63,5.229,598,53,145,0,5.62,5.184,3181,181,145,44,5.85,5.306,545,51,146,20,5.85,5.426,3181,181,145,44,5.8,5.204,400,45,145,23,6.07,5.554,3181,181,145,44,5.93,5.452,400,45,140,23,5.63,5.207,3034,152,141,32,5.64,5.231,400,45,145,22,5.64,5.218,3055,154,144,39,5.62,5.197,400,45,138,23,5.62,5.184,400,45,138,0,5.715,5.23,1816,102.5,145,23,6.07,5.554,22457,498,146,44
blocks-strips-typed/instances/instance-32.lp,10.97,9.894,22999,4590,200,0,7.19,6.516,16244,343,169,0,11.85,10.726,39772,4520,216,690,11.94,6.991,13298,412,176,63,10.06,9.114,39843,4546,203,443,7.33,6.669,14084,414,171,54,9.85,8.97,40180,4562,196,256,7.21,6.49,14084,414,169,54,10.14,9.359,54516,6020,204,142,7.3,6.633,12196,412,168,49,10.16,9.339,50516,5149,208,260,7.7,6.913,14084,414,169,54,7.19,6.49,12196,343,168,0,9.955,7.9805,19621.5,2467,186,58.5,11.94,10.726,54516,6020,216,690
blocks-strips-typed/instances/instance-33.lp,12.81,11.632,73289,5549,218,0,18.51,17.754,39063,4237,281,0,16.32,15.102,39038,5110,256,704,86.97,17.878,49353,6724,680,113,12.87,11.922,39084,5211,242,398,18.42,17.634,55524,5463,284,141,11.7,10.914,35613,4746,239,226,16.47,15.73,55403,5463,287,111,11.58,10.7,58813,5586,238,176,26.68,25.938,96011,10635,328,75,11.55,10.676,43516,4164,242,295,16.82,16.105,55570,5466,287,113,11.55,10.676,35613,4164,218,0,16.395,15.416,52378,5463,268.5,127,86.97,25.938,96011,10635,680,704
blocks-strips-typed/instances/instance-34.lp,17.94,16.737,83821,7327,262,0,9.3,8.58,33005,1199,201,0,15.82,14.387,24839,5290,270,972,58.53,10.639,27151,2353,442,100,12.72,11.742,26122,5541,245,488,8.91,8.202,25556,627,200,50,11.98,11.184,25543,5314,238,225,8.83,8.13,25556,627,197,50,12.46,11.548,42571,5699,229,180,8.98,8.257,23248,1142,198,53,13.63,12.641,50832,6544,271,321,8.76,8.024,26649,604,196,50,8.76,8.024,23248,604,196,0,12.22,10.9115,26385.5,3821.5,233.5,76.5,58.53,16.737,83821,7327,442,972
blocks-strips-typed/instances/instance-35.lp,12.12,10.981,62601,3840,219,0,11.62,10.812,17929,2315,209,0,10.88,9.887,16802,2030,223,360,28.39,9.649,5234,1509,287,135,10.93,9.939,16802,2030,215,360,11.38,10.581,10894,2364,215,191,10.28,9.431,24550,2126,210,232,10.58,9.837,10268,2053,220,122,10.12,9.267,23224,1900,209,136,10.58,9.866,6665,2003,217,83,10.21,9.34,13965,1698,206,234,10.86,10.12,10714,2208,213,143,10.12,9.267,5234,1509,206,0,10.87,9.8765,15383.5,2041.5,215,139.5,28.39,10.981,62601,3840,287,360
blocks-strips-typed/instances/instance-36.lp,12.91,11.981,66947,3636,236,0,10.49,9.614,14090,655,221,0,11.8,10.759,27821,2151,233,334,15.25,9.104,2413,258,225,55,12,10.937,27821,2151,234,334,10.55,9.78,2978,277,219,58,11.78,10.848,29432,2349,230,198,9.92,9.132,2978,277,223,58,10.49,9.622,11687,1083,219,90,10.1,9.287,3707,302,222,52,11.49,10.509,39586,2434,226,192,9.98,9.186,2978,277,221,58,9.92,9.104,2413,258,219,0,11.02,9.701,12888.5,869,224,58,15.25,11.981,66947,3636,236,334
blocks-strips-typed/instances/instance-37.lp,14.63,13.497,94953,3515,283,0,12.35,11.439,3121,332,275,0,13.63,12.502,22316,2067,286,270,18.63,11.816,3439,328,320,81,13.98,12.85,22316,2067,286,270,12.18,11.298,1260,224,277,58,12.69,11.674,16574,1707,276,173,12.4,11.423,1260,224,278,58,13.59,12.553,38407,2272,275,168,11.56,10.658,1260,224,277,58,13.83,12.739,41307,2763,279,230,11.88,10.95,1260,224,274,58,11.56,10.658,1260,224,274,0,13.14,11.745,10006.5,1019.5,277.5,69.5,18.63,13.497,94953,3515,320,270
blocks-strips-typed/instances/instance-38.lp,19.25,17.72,78147,5171,331,0,45.57,43.914,131871,9319,436,0,28.39,26.638,113443,7533,405,796,216.57,43.624,110639,14416,1297,123,20.86,19.595,112834,7504,378,320,42.28,41.148,139786,14048,452,100,20.57,19.477,112829,7505,372,188,38.83,37.808,144920,14074,453,83,18.55,17.404,87942,7220,334,136,36.92,35.821,148189,14077,434,72,19.21,18.02,104478,8053,334,257,39.33,38.239,146443,14079,453,87,18.55,17.404,78147,5171,331,0,32.655,31.2295,113138.5,8686,419.5,111.5,216.57,43.914,148189,14416,1297,796
blocks-strips-typed/instances/instance-39.lp,30,28.396,138946,7887,422,0,15.84,14.688,40507,881,331,0,26.62,24.905,63504,5877,431,730,80.45,15.355,20728,1155,592,90,20.5,19.158,64199,5879,417,357,15.88,14.723,22080,1080,338,79,19.9,18.663,65438,6076,407,197,15.37,14.23,21658,1077,328,70,19.13,17.886,48353,5060,390,180,15.14,13.996,14447,575,322,56,19.45,18.148,69121,5605,387,256,15.41,14.274,31417,626,330,59,15.14,13.996,14447,575,322,0,19.29,16.6205,44430,3107.5,388.5,84.5,80.45,28.396,138946,7887,592,730
blocks-strips-typed/instances/instance-40.lp,14.02,12.909,31180,906,314,0,13.42,12.437,6154,136,303,0,14.12,13.019,12395,651,315,144,14.37,12.36,2792,124,316,42,13.78,12.709,12395,651,314,144,13.84,12.86,2671,114,314,44,13.88,12.809,12395,651,315,144,13.31,12.322,2671,114,304,44,13.85,12.749,7743,774,312,135,13.32,12.341,2676,104,316,47,13.72,12.659,9042,676,314,130,13.49,12.49,2676,104,315,48,13.31,12.322,2671,104,303,0,13.81,12.684,6948.5,393.5,314,47.5,14.37,13.019,31180,906,316,144
blocks-strips-typed/instances/instance-41.lp,24.53,23.115,107642,6286,401,0,74.4,73.004,156359,18340,520,0,19.06,17.503,14717,3048,368,493,217.8,26.024,35679,5404,1124,175,19.59,18.012,14717,3048,364,493,36.22,34.944,51387,8943,507,190,20.63,19.151,30336,5629,390,376,32.22,30.963,50777,8060,496,139,17.78,16.498,27031,2755,358,139,46.95,45.635,108188,16751,474,110,19.01,17.585,13892,2658,358,297,36.65,35.387,88376,12048,488,169,17.78,16.498,13892,2658,358,0,28.375,24.5695,43228,5957.5,437.5,172,217.8,73.004,156359,18340,1124,493
blocks-strips-typed/instances/instance-42.lp,28.52,26.454,173122,7131,449,0,18.71,17.286,53606,347,395,0,34.02,31.668,117004,8654,511,917,21.64,17.31,46965,384,399,77,26.53,24.804,117961,8678,485,413,18.2,16.819,46211,370,378,61,26.25,24.46,117831,8636,467,302,19.04,17.546,46211,370,382,61,28.13,26.482,106976,9124,443,198,18.56,17.084,44997,369,392,60,26.12,24.454,90570,6643,485,293,18.5,17.04,46211,370,379,61,18.2,16.819,44997,347,378,0,23.88,21,72088,3513.5,421,69,34.02,31.668,173122,9124,511,917
depots-strips-automatic/instances/instance-10.lp,9.02,8.716,1908,533,201,0,8.82,8.548,130,18,197,0,8.92,8.518,1908,533,202,0,8.52,8.231,130,18,195,0,8.97,8.667,1908,533,201,0,9.43,9.132,130,18,196,0,8.69,8.413,1908,533,201,0,8.67,8.393,130,18,201,0,8.94,8.635,1908,533,199,0,8.62,8.347,130,18,195,0,9.52,9.225,1908,533,200,0,8.63,8.351,130,18,197,0,8.52,8.231,130,18,195,0,8.87,8.533,1019,275.5,199.5,0,9.52,9.225,1908,533,202,0
depots-strips-automatic/instances/instance-11.lp,780.43,779.096,2035746,1088880,766,0,900,900,3427301,936031,883,0,52.82,51.105,177765,37222,724,594,900,900,3122083,861467,1075,0,168.18,166.853,600237,242954,726,393,900,900,2969109,871610,890,0,133.3,132.063,1355475,189261,730,125,900,900,2981366,889330,911,0,154.2,152.822,526716,218376,716,133,900,900,3373490,912582,849,0,340.71,339.497,1035663,497469,743,221,900,900,3053036,919304,876,0,52.82,51.105,177765,37222,716,0,840.215,839.548,2502427.5,866538.5,807.5,0,900,900,3427301,1088880,1075,594
depots-strips-automatic/instances/instance-12.lp,900,900,16488430,800314,2253,0,900,900,1881508,405359,2438,0,900,900,16680765,820532,2265,0,900,900,1610857,378899,2479,0,900,900,16298902,798330,2262,0,900,900,1628535,363094,2632,0,900,900,16315831,800303,2265,0,900,900,1646048,366423,2638,0,900,900,14642336,810571,2247,0,900,900,1420139,354733,2511,0,900,900,16087789,814570,2243,0,900,900,1558407,359807,2560,0,900,900,1420139,354733,2243,0,900,900,8261922,601844.5,2351.5,0,900,900,16680765,820532,2638,0
depots-strips-automatic/instances/instance-13.lp,12.45,12.073,570,77,265,0,12.71,12.345,354,42,264,0,12.88,12.516,570,77,263,0,12.22,11.879,354,42,265,0,12,11.64,570,77,259,0,11.72,11.341,354,42,264,0,12.02,11.653,570,77,264,0,11.73,11.367,354,42,267,0,11.79,11.422,570,77,260,0,11.85,11.371,354,42,267,0,11.99,11.62,570,77,260,0,11.93,11.561,354,42,266,0,11.72,11.341,354,42,259,0,11.995,11.63,462,59.5,264,0,12.88,12.516,570,77,267,0
depots-strips-automatic/instances/instance-14.lp,41.52,40.277,566,80,848,0,42.74,41.351,238,17,841,0,41.17,39.862,4502,490,847,8,44.34,43.073,229,17,850,3,41.53,40.245,4502,490,845,8,41.09,39.905,229,17,851,3,41.15,40.035,4502,490,849,8,41.26,39.994,229,17,846,3,42.14,40.817,5906,1151,846,7,41.87,40.465,229,17,843,3,41.31,39.987,4502,490,847,8,40.93,39.677,229,17,848,3,40.93,39.677,229,17,841,0,41.415,40.14,402,48.5,847,3,44.34,43.073,5906,1151,851,8
depots-strips-automatic/instances/instance-15.lp,900,900,6296674,629847,2589,0,900,900,983995,306496,2798,0,900,900,7176539,594237,2590,0,900,900,,,2858,0,900,900,7282912,607852,2588,0,900,900,1131697,340247,2910,0,900,900,7157386,592858,2588,0,900,900,1166601,351411,2902,0,900,900,7779820,594898,2600,0,900,900,1136126,341724,2905,0,900,900,7243718,605234,2620,0,900,900,1136929,342034,2911,0,900,900,983995,306496,2588,0,900,900,6296674,592858,2709,0,900,900,7779820,629847,2911,0
depots-strips-automatic/instances/instance-16.lp,22.74,22.119,490,123,461,0,22.7,22.097,2013,45,462,0,22.49,21.895,490,123,461,0,22.22,21.47,2013,45,464,0,22.44,21.829,490,123,461,0,21.98,21.376,2013,45,462,0,22,21.386,490,123,460,0,23.23,22.673,2013,45,456,0,22.1,21.468,490,123,463,0,22.17,21.573,2013,45,456,0,22.63,22.033,490,123,462,0,22.46,21.838,2013,45,464,0,21.98,21.376,490,45,456,0,22.45,21.8335,1251.5,84,461.5,0,23.23,22.673,2013,123,464,0
depots-strips-automatic/instances/instance-17.lp,72.26,70.313,5277,1112,1417,0,72.42,70.472,755,60,1415,0,72.8,70.838,5277,1112,1418,0,72.65,70.768,755,60,1416,0,70.84,69.192,5277,1112,1417,0,76.53,74.82,755,60,1415,0,72.74,70.984,5277,1112,1417,0,73.94,72.081,755,60,1416,0,72.35,70.393,5277,1112,1417,0,71.57,69.863,755,60,1416,0,72.06,70.091,5277,1112,1418,0,71.83,69.747,755,60,1415,0,70.84,69.192,755,60,1415,0,72.385,70.4325,3016,586,1416.5,0,76.53,74.82,5277,1112,1418,0
depots-strips-automatic/instances/instance-18.lp,235.79,229.391,117898,8862,4276,0,239.56,233.071,927,79,4279,0,228,221.545,245999,6028,4279,11,219.92,213.726,924,79,4280,16,219.96,213.411,245999,6028,4273,11,225.26,218.531,924,79,4281,16,222.66,215.587,245999,6028,4281,11,211.69,205.806,924,79,4279,16,221.5,214.775,244165,8248,4274,5,215.88,209.798,927,79,4275,10,219.82,213.492,197614,5606,4277,9,213.75,207.704,924,79,4279,15,211.69,205.806,924,79,4273,0,220.73,214.2505,59412.5,2842.5,4279,11,239.56,233.071,245999,8862,4281,16
depots-strips-automatic/instances/instance-19.lp,45.96,44.786,912,149,913,0,45.75,44.501,1029,52,913,0,46.03,44.845,912,149,914,0,45.47,44.406,1029,52,913,0,44.97,43.755,912,149,915,0,44.59,43.483,1029,52,911,0,45.65,44.514,912,149,914,0,44.65,43.575,1029,52,915,0,45.24,44.101,912,149,914,0,44.85,43.784,1029,52,915,0,45.58,44.389,912,149,918,0,45.05,43.977,1029,52,918,0,44.59,43.483,912,52,911,0,45.355,44.245,970.5,100.5,914,0,46.03,44.845,1029,149,918,0
depots-strips-automatic/instances/instance-20.lp,333.35,326.626,2641011,114223,4418,0,900,900,1973429,392544,4644,0,583,577.099,7017421,384660,4481,5,900,900,,,4697,0,592.56,587.019,7017421,384660,4484,5,900,900,2289203,409636,4699,0,582.89,577.272,7017421,384660,4489,5,900,900,2331712,421026,4692,0,580.52,573.35,7017421,384660,4484,5,900,900,2292207,410889,4702,0,594.56,588.636,7017421,384660,4488,5,900,900,2290563,410184,4699,0,333.35,326.626,1973429,114223,4418,0,747.28,744.318,2641011,384660,4566.5,0,900,900,7017421,421026,4702,5
depots-strips-automatic/instances/instance-3.lp,2.67,2.479,1569,506,73,0,2.7,2.416,214,40,70,0,2.66,2.486,2631,967,74,20,2.59,2.43,189,35,70,7,2.93,2.743,2631,967,73,20,2.57,2.401,189,35,73,7,2.68,2.512,2631,967,73,20,2.52,2.348,189,35,69,7,2.72,2.534,2080,766,73,14,2.88,2.708,189,35,72,6,2.74,2.576,2631,967,73,20,2.58,2.397,189,35,73,7,2.52,2.348,189,35,69,0,2.675,2.4825,891.5,273,73,7,2.93,2.743,2631,967,74,20
depots-strips-automatic/instances/instance-4.lp,5.45,5.197,7324,2770,124,0,5.38,5.128,412,40,119,0,4.94,4.687,1924,539,125,6,4.76,4.549,412,40,120,0,5.07,4.813,1924,539,124,6,5,4.767,421,41,123,3,4.86,4.626,1924,539,124,6,4.75,4.532,421,41,121,3,5.37,5.113,3441,1057,124,4,4.73,4.503,421,41,124,3,5.02,4.761,1924,539,124,6,4.72,4.487,421,41,124,3,4.72,4.487,412,40,119,0,4.97,4.724,1172.5,290,124,3,5.45,5.197,7324,2770,125,6
depots-strips-automatic/instances/instance-5.lp,11.88,11.459,25350,8471,221,0,9.89,9.481,3964,875,221,0,23.79,23.361,75886,33808,239,17,10.24,9.754,3837,817,219,9,23.75,23.31,75886,33808,239,17,10.02,9.616,3764,812,221,9,23.49,23.087,75886,33808,239,17,9.64,9.223,3764,812,221,9,10.9,10.457,18934,5916,219,14,10.17,9.75,3764,812,219,9,10.93,10.543,18934,5916,220,14,9.99,9.57,3764,812,222,9,9.64,9.223,3764,812,219,0,10.57,10.1055,11449,3395.5,221,9,23.79,23.361,75886,33808,239,17
depots-strips-automatic/instances/instance-6.lp,479.35,477.783,1650307,673547,772,0,900,900,1534135,615770,879,0,307.03,305.318,1143643,381477,767,535,900,900,,,986,0,315.78,314.215,928156,387401,766,399,900,900,1450522,590947,957,0,393.04,391.521,1235158,517458,761,158,900,900,1462714,595475,968,0,900,900,8887114,1106578,872,0,900,900,1444272,588435,960,0,628.83,627.418,2183165,951455,761,221,900,900,1476013,599854,967,0,307.03,305.318,928156,381477,761,0,900,900,1462714,595475,875.5,0,900,900,8887114,1106578,986,535
